"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Graphical Evolutionary Game Model of Virus-Based Intrusion to Power System for Long-Term Cyber-Security Risk Evaluation","B. Li; Y. Chen; S. Huang; R. Yao; Y. Xia; S. Mei","Department of Electrical Engineering, State Key Laboratory of Power System, Tsinghua University, Beijing, China; Department of Electrical Engineering, State Key Laboratory of Power System, Tsinghua University, Beijing, China; Department of Electrical Engineering, State Key Laboratory of Power System, Tsinghua University, Beijing, China; Argonne National Laboratory, Lemont, IL, USA; Department of Electrical Engineering, China Agricultural University, Beijing, China; Department of Electrical Engineering, State Key Laboratory of Power System, Tsinghua University, Beijing, China","IEEE Access","19 Dec 2019","2019","7","","178605","178617","Through virus-based reconnaissances, the attacker may compromise critical power substations and induce power outages. Meanwhile, the power system operator may conduct defensive measures to prevent virus-spreading. In this paper, a graphical evolutionary game model is developed to solve the equilibrium of competitions between virus propagations and countermeasures, which helps to evaluate the cyber-security risk of power systems under long-term virus-based intrusions. In the proposed game model, the virus is supposed to propagate itself in a cyber network connecting cyber nodes belonging to power substations. Each cyber node may play as an attacker or a defender according to its state. A death-birth rule is adopted to model probabilistic strategies and state transfers, which reflects the bounded rationality of the viruses. Then, an evolution dynamic equation is derived to obtain the portion of the infected substations when the equilibrium is reached, and simulation algorithm is also given to estimate the infection probability of each substation under the persistent virus-based intrusion. Assuming a virus may trip all breakers in the infected substation, the cyber-security risk is evaluated to identify system-level vulnerabilities. The IEEE 118-bus system with a layered cyber network is used for case studies. Test results validate the proposed model and provide further insights into the virus-based intrusion.","2169-3536","","10.1109/ACCESS.2019.2958856","National Key Research and Development Program of China through the Basic Research Class(grant numbers:2017YFB0903000); National Natural Science Foundation of China(grant numbers:51477081,51621065); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8930508","Cyber security;graphical evolutionary game;virus spread;substation risk assessment","Games;Substations;Viruses (medical);Cyberattack;Computer viruses;Mathematical model","computer viruses;evolutionary computation;game theory;graph theory;power engineering computing;power system security;probability;risk analysis;substations","simulation algorithm;death-birth rule;infection probability estimation;evolution dynamic equation;bounded rationality;state transfers;probabilistic strategies;defensive measures;virus propagations;virus-spreading;power system operator;power outages;critical power substations;virus-based reconnaissances;long-term cyber-security risk evaluation;graphical evolutionary game model;layered cyber network;IEEE 118-bus system;system-level vulnerabilities;infected substation;cyber node;long-term virus-based intrusions","","5","","27","CCBY","10 Dec 2019","","","IEEE","IEEE Journals"
"A Cyber-Security Methodology for a Cyber-Physical Industrial Control System Testbed","M. Noorizadeh; M. Shakerpour; N. Meskin; D. Unal; K. Khorasani","Department of Electrical Engineering, Qatar University, Doha, Qatar; KINDI Center for Computing Research, Qatar University, Doha, Qatar; Department of Electrical Engineering, Qatar University, Doha, Qatar; KINDI Center for Computing Research, Qatar University, Doha, Qatar; Department of Electrical and Computer Engineering, Concordia University, Montreal, Canada","IEEE Access","29 Jan 2021","2021","9","","16239","16253","Due to recent increase in deployment of Cyber-Physical Industrial Control Systems in different critical infrastructures, addressing cyber-security challenges of these systems is vital for assuring their reliability and secure operation in presence of malicious cyber attacks. Towards this end, developing a testbed to generate real-time data-sets for critical infrastructure that would be utilized for validation of real-time attack detection algorithms are indeed highly needed. This paper investigates and proposes the design and implementation of a cyber-physical industrial control system testbed where the Tennessee Eastman process is simulated in real-time on a PC and the closed-loop controllers are implemented on the Siemens PLCs. False data injection cyber attacks are injected to the developed testbed through the man-in-the-middle structure where the malicious hackers can in real-time modify the sensor measurements that are sent to the PLCs. Furthermore, various cyber attack detection algorithms are developed and implemented in real-time on the testbed and their performance and capabilities are compared and evaluated.","2169-3536","","10.1109/ACCESS.2021.3053135","Qatar National Research Fund (a member of the Qatar Foundation) through the National Priorities Research Program (NPRP)(grant numbers:10-0105-17017); North Atlantic Treaty Organization (NATO) through the Emerging Security Challenges Division Program; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9328778","Industrial control systems;cyber attack;attack detection algorithm;man-in-the-middle attack;hybrid testbed","Cyberattack;Real-time systems;Detection algorithms;Protocols;Process control;Data models;Water pollution","closed loop systems;industrial control;production engineering computing;security of data","critical infrastructures;cyber-security challenges;reliability;secure operation;malicious cyber attacks;real-time attack detection algorithms;cyber-physical industrial control system testbed;false data injection cyber attacks;cyber attack detection;cyber-security methodology","","4","","46","CCBY","20 Jan 2021","","","IEEE","IEEE Journals"
"REMaDD: Resource-Efficient Malicious Domains Detector in Large-Scale Networks","O. E. Kdosha; G. Rosenthal; K. Cohen; A. Freund; A. Bartik; A. Ron","School of Electrical and Computer Engineering, Ben-Gurion University of the Negev, Beer Sheva, Israel; School of Electrical and Computer Engineering, Ben-Gurion University of the Negev, Beer Sheva, Israel; School of Electrical and Computer Engineering, Ben-Gurion University of the Negev, Beer Sheva, Israel; IBM Cyber Security Center of Excellence, Beer Sheva, Israel; IBM Cyber Security Center of Excellence, Beer Sheva, Israel; IBM Cyber Security Center of Excellence, Beer Sheva, Israel","IEEE Access","16 Apr 2020","2020","8","","66327","66337","Detecting malicious activities in cyber systems is a major challenge of cybersecurity service providers. Due to the large amount of network traffic, it is often likened to finding a needle in a haystack. Domain name system (DNS) is one of the fundamental protocols of the internet, and therefore it can give a broad view of those malicious activities, which abuse it and leave fingerprints as part of their attack vector. In this collaborative research between Ben-Gurion University, and IBM, a significant performance improvement was achieved in detecting malicious domains as compared to the state-of-the-art software solutions. Specifically, we establish a novel algorithm to detect malicious domains in large-scale DNS traffic, named Resource-Efficient Malicious Domain Detector (REMaDD), with the following desired properties. First, the algorithm does not require prior knowledge on historical malicious activities in its real-time operations. Second, the development used real live streaming data from The Inter-University Computation Center (IUCC), and operated on real-time IBM system. The algorithm is highly computational efficient and satisfies real-time requirements in terms of running time and computational complexity. REMaDD demonstrated strong performance in terms of both detection accuracy and computational efficiency as compared to existing algorithms. Specifically, experimental results on IBM production environment demonstrated that REMaDD achieved 89.4% Precision score, and 82.9% Recall score. By contrast, the DomainObserver, and LSTM.MI algorithms achieved only 76.7%, 67.2% Precision score, and 81.7%, 75.3% Recall score, respectively.","2169-3536","","10.1109/ACCESS.2020.2985367","IBM Cyber Security Center of Excellence, Gav-Yam Negev; U.S.-Israel Binational Science Foundation (BSF)(grant numbers:2017723); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9056547","Cyber security;domain name system (DNS);detection algorithms;real-time algorithms","Real-time systems;Machine learning algorithms;Computer crime;Time series analysis;Detectors;Time measurement;Correlation","Internet;protocols;resource allocation;security of data;telecommunication traffic","REMaDD;resource-efficient malicious domains detector;cyber systems;cybersecurity service providers;network traffic;Domain name system;Ben-Gurion University;large-scale DNS traffic;Inter-University Computation Center;LSTM.MI algorithms;Resource-Efficient Malicious Domain Detector;DNS;Internet protocols","","","","33","CCBY","3 Apr 2020","","","IEEE","IEEE Journals"
"Employee Perspective on Information Security Related Human Error in Healthcare: Proactive Use of IS-CHEC in Questionnaire Form","M. Evans; Y. He; C. Luo; I. Yevseyeva; H. Janicke; L. A. Maglaras","Cyber Security Centre, De Montfort University, Leicester, U.K.; Cyber Security Centre, De Montfort University, Leicester, U.K.; Key Laboratory of Medical Electrophysiology, Ministry of Education, Institute of Cardiovascular Research, Southwest Medical University, Luzhou, China; Cyber Security Centre, De Montfort University, Leicester, U.K.; Cyber Security Centre, De Montfort University, Leicester, U.K.; Cyber Security Centre, De Montfort University, Leicester, U.K.","IEEE Access","7 Aug 2019","2019","7","","102087","102101","The objective of the research was to establish data relating to underlying causes of human error which are the most common cause of information security incidents within a private sector healthcare organization. A survey questionnaire was designed to proactively apply the IS-CHEC information security human reliability analysis (HRA) technique. The IS-CHEC technique questionnaire identified the most likely core human error causes that could result in incidents, their likelihood, the most likely tasks that could be affected, suggested remedial and preventative measures, systems or processes that would be likely to be affected by human error and established the levels of risk exposure. The survey was operational from 15th November 2018 to 15th December 2018. It achieved a response rate of 65% which equated to 485 of 749 people targeted by the research. The research found that, in the case of this particular participating organization, the application of the IS-CHEC technique through a questionnaire added beneficial value as an enhancement to a standard approach of holistic risk assessment. The research confirmed that the IS-CHEC in questionnaire form can be successfully applied within a private sector healthcare organization and also that a distributed approach for information security human error assessment can be successfully undertaken in order to add beneficial value. The results of this paper indicate, from the questionnaire responses supplied by employees, that organizational focus on its people and their working environment can improve information security posture and reduce the likelihood of associated information security incidents through a reduction in human error.","2169-3536","","10.1109/ACCESS.2019.2927195","National Natural Science Foundation of China(grant numbers:61803318); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8755984","Human error assessment and reduction technique (HEART);human error related information security incidents;human reliability analysis (HRA);information security;IS-CHEC","Information security;Organizations;Task analysis;Medical services;Standards organizations;Reliability","health care;human factors;medical information systems;organisational aspects;personnel;risk management;security of data","questionnaire form;private sector healthcare organization;information security human error assessment;information security posture;information security related human error;survey questionnaire;IS-CHEC information security human reliability analysis technique;IS-CHEC technique questionnaire;preventative measures;information security incidents;remedial measures;employee perspective;risk exposure;risk assessment","","10","","52","CCBY","5 Jul 2019","","","IEEE","IEEE Journals"
"Cyber Security Threats Detection in Internet of Things Using Deep Learning Approach","F. Ullah; H. Naeem; S. Jabbar; S. Khalid; M. A. Latif; F. Al-turjman; L. Mostarda","College of Computer Science, Sichuan University, Chengdu, China; College of Computer Science, Sichuan University, Chengdu, China; Department of Computer Science, National Textile University, Faisalabad, Pakistan; Department of Computer Engineering, Bahria University, Islamabad, Pakistan; Department of Computer Science, University of Agriculture Faisalabad, Faisalabad, Pakistan; Department of Computer Engineering, Antalya Bilim University, Antalya, Turkey; Computer Science Department, Camerino University, Camerino, Italy","IEEE Access","12 Sep 2019","2019","7","","124379","124389","The IoT (Internet of Things) connect systems, applications, data storage, and services that may be a new gateway for cyber-attacks as they continuously offer services in the organization. Currently, software piracy and malware attacks are high risks to compromise the security of IoT. These threats may steal important information that causes economic and reputational damages. In this paper, we have proposed a combined deep learning approach to detect the pirated software and malware-infected files across the IoT network. The TensorFlow deep neural network is proposed to identify pirated software using source code plagiarism. The tokenization and weighting feature methods are used to filter the noisy data and further, to zoom the importance of each token in terms of source code plagiarism. Then, the deep learning approach is used to detect source code plagiarism. The dataset is collected from Google Code Jam (GCJ) to investigate software piracy. Apart from this, the deep convolutional neural network is used to detect malicious infections in IoT network through color image visualization. The malware samples are obtained from Maling dataset for experimentation. The experimental results indicate that the classification performance of the proposed solution to measure the cybersecurity threats in IoT are better than the state of the art methods.","2169-3536","","10.1109/ACCESS.2019.2937347","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8812669","Internet of Things;data mining;cyber security;software piracy;malware detection","Malware;Feature extraction;Plagiarism;Computer crime;Internet of Things;Computer languages","computer crime;computer network security;convolutional neural nets;data visualisation;image colour analysis;Internet of Things;invasive software;learning (artificial intelligence);source code (software)","GCJ;color image visualization;Google code jam;tokenization methods;deep learning approach;data services;cyber security threat detection;deep convolutional neural network;weighting feature methods;source code plagiarism;TensorFlow deep neural network;IoT network;malware-infected files;malware attacks;software piracy;cyber-attacks;data storage;Internet of Things","","58","","48","CCBY","26 Aug 2019","","","IEEE","IEEE Journals"
"Energy-Efficient Location Privacy Preserving in Vehicular Networks Using Social Intimate Fogs","G. Li; Q. Zhang; J. Li; J. Wu; P. Zhang","School of Cyber Security, Shanghai Jiao Tong University, Shanghai, China; School of Cyber Security, Shanghai Jiao Tong University, Shanghai, China; School of Cyber Security, Shanghai Jiao Tong University, Shanghai, China; School of Cyber Security, Shanghai Jiao Tong University, Shanghai, China; Department of Science and Industry, Guangdong Mechanical and Electrical Polytechnic, Guangzhou, China","IEEE Access","27 Sep 2018","2018","6","","49801","49810","Although the ways to protect vehicular location privacy have been actively studied in recent years, the locations of vehicles are frequently submitted for authentication during accessing location-based services (LBS), which makes it easier for attackers to launch attacks by threaten the location privacy of vehicles. Moreover, the rapid deployment of electric vehicles requires location privacy-preserving to be more energy-efficient. In this paper, we proposed a novel energy-efficient location privacy preserving (ELPP) scheme in vehicular networks using social intimate fogs (SIFs). ELPP is based on three novel techniques. First, ELPP deal with large bursts of LBS requests by transferring them to their SIF. The key insight is that computing efficiency for location privacy preserving can be gained at the price of some communication delay. Second, ELPP introduces a travel plan-based LBS content pre-caching mechanism, which enables quick and exible retrieval and distribution of the LBS contents. Third, to guarantee confidentiality, ELPP randomly encrypted the data by access control encryption. ELPP is deployable on existing devices, without modifying protocols in vehicular networks. We present an implementation case of ELPP and validate that it is energy-efficient, fast, and secure.","2169-3536","","10.1109/ACCESS.2018.2859344","National Natural Science Foundation of China(grant numbers:61431008,61571300); Natural Science Foundation of Guangdong Province(grant numbers:2017A030313431); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8418688","Energy-efficient;location privacy preserving;vehicular networks;social intimate fogs;content pre-caching","Privacy;Edge computing;Social network services;Delays;Encryption;Computer architecture","authorisation;cryptography;data privacy;mobile computing;social networking (online)","energy-efficient location privacy preserving;vehicular networks;social intimate fogs;vehicular location privacy;location-based services;electric vehicles;travel plan-based LBS content pre-caching mechanism;ELPP scheme;energy-efficient location privacy","","1","","32","OAPA","24 Jul 2018","","","IEEE","IEEE Journals"
"Cyber-Physical Power System (CPPS): A Review on Modeling, Simulation, and Analysis With Cyber Security Applications","R. V. Yohanandhan; R. M. Elavarasan; P. Manoharan; L. Mihet-Popa","Department of Electronics and Instrumentation Engineering, SRM Institute of Science and Technology at Kattankulathur Campus, Chennai, India; Electrical and Automotive Parts Manufacturing Unit, AA Industries, Chennai, India; Department of Electrical and Electronics Engineering, GMR Institute of Technology, Rajam Andhra Pradesh, India; Faculty of Engineering, Østfold University College, Halden, Norway","IEEE Access","24 Aug 2020","2020","8","","151019","151064","Cyber-Physical System (CPS) is a new kind of digital technology that increases its attention across academia, government, and industry sectors and covers a wide range of applications like agriculture, energy, medical, transportation, etc. The traditional power systems with physical equipment as a core element are more integrated with information and communication technology, which evolves into the Cyber-Physical Power System (CPPS). The CPPS consists of a physical system tightly integrated with cyber systems (control, computing, and communication functions) and allows the two-way flows of electricity and information for enabling smart grid technologies. Even though the digital technologies monitoring and controlling the electric power grid more efficiently and reliably, the power grid is vulnerable to cybersecurity risk and involves the complex interdependency between cyber and physical systems. Analyzing and resolving the problems in CPPS needs the modelling methods and systematic investigation of a complex interaction between cyber and physical systems. The conventional way of modelling, simulation, and analysis involves the separation of physical domain and cyber domain, which is not suitable for the modern CPPS. Therefore, an integrated framework needed to analyze the practical scenario of the unification of physical and cyber systems. A comprehensive review of different modelling, simulation, and analysis methods and different types of cyber-attacks, cybersecurity measures for modern CPPS is explored in this paper. A review of different types of cyber-attack detection and mitigation control schemes for the practical power system is presented in this paper. The status of the research in CPPS around the world and a new path for recommendations and research directions for the researchers working in the CPPS are finally presented.","2169-3536","","10.1109/ACCESS.2020.3016826","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9167203","Cyber-physical power system (CPPS);CPPS modelling;CPPS simulation;cyber-physical social system (CPSS);cyber attack;cyber security;smart grid","Power system stability;Analytical models;Monitoring;Computer security;Power grids;Control systems","cyber-physical systems;power engineering computing;power grids;power system security;security of data;smart power grids","cyber-physical power system;cyber security applications;digital technology;traditional power systems;physical equipment;communication technology;smart grid technologies;digital technologies monitoring;electric power grid;physical systems;physical domain;cyber domain;modern CPPS;cyber-attacks;cyber-attack detection;practical power system","","30","","268","CCBY","14 Aug 2020","","","IEEE","IEEE Journals"
"IoT Innovations and Forensic Engineering in the Digital Age","G. Parise; D. Mohla; L. Parise; M. Lombardi","Civil & Industrial Engineering Faculty, Sapienza University of Rome, Roma, Italy; DCM Electrical Consulting Services, Inc., Missouri City, TX, USA; Department of Infrastructure Engineering, Ospedale Pediatrico Bambino Gesu, Roma, Italy; Facolta di Ingegneria Civile e Industriale, Universita degli Studi di Roma “La Sapienza,”, Roma, Italy","IEEE Transactions on Industry Applications","19 May 2021","2021","57","3","2098","2103","Internet-of-Things (IoT) innovations produce interesting opportunities, impact ethical and social aspects toward human society, and influence operational and technical solutions toward the structural systems. This article discusses the impact of some relevant characteristics of the IoT innovations. Significant debated aspects are the product discontinuity in the global market, their durability, the upcoming “social” virtual systems, new “socialized” equipment, the promotion of electrical microsystems, the human competence in the digital age, the safety, operability, and security of IoT. These innovations require an advancement of the technical culture and open new frontiers for electroforensic engineering. In the next future, forensic engineering can promote an international reference organization as a mediator between social, technical, and regulatory aspects. Innovations and efficient sustainability need adequate global regulatory changes to favor the spreading of advantages, with more cert success if old businesses are transferred into new businesses.","1939-9367","","10.1109/TIA.2021.3057344","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9347721","Cyber security;globalization;home automation;innovation;sustainability","Technological innovation;Software;Globalization;Forensics;Micromechanical devices;Maintenance engineering;Internet of Things","computer network security;digital forensics;ethical aspects;innovation management;Internet of Things;socio-economic effects","IoT innovations;forensic engineering;digital age;social aspects;human society;global market;social virtual systems;technical culture;electroforensic engineering;Internet-of-Things innovations","","2","","16","IEEE","4 Feb 2021","","","IEEE","IEEE Journals"
"A Survey on Power Grid Cyber Security: From Component-Wise Vulnerability Assessment to System-Wide Impact Analysis","X. Huang; Z. Qin; H. Liu","College of Electrical Engineering, Guangxi University, Nanning, China; College of Electrical Engineering, Guangxi University, Nanning, China; College of Electrical Engineering, Guangxi University, Nanning, China","IEEE Access","4 Dec 2018","2018","6","","69023","69035","The now ubiquitous use of information technology poses a crucial challenge to the cyber security of power grid operations, one that has aroused serious concerns from both industry and academia. The state-of-the-art research either focuses on the vulnerability assessment of particular types of components or concentrates on the prevention and mitigation of cyber attacks from the power grid’s perspective. Complete causal chains connecting component vulnerabilities to cyber attacks causing malicious system-wide effects are unclear, which hinders cyber-attack prevention and the consolidation of affected components. To bridge this research gap, this survey aims to study two issues that need further investigation. On one hand, the causal relationship between power grid component vulnerabilities and resulting cyber attacks has not been thoroughly explored. On the other hand, the evolvement of cyber attacks, from initial attempt to resulting serious consequences has not been resolved. To study these two issues, we first analyze various stakeholders and associated information flows in diverse applications in power grid operation. Second, we summarize the root cause of cyber attacks in the vulnerability of communication protocols. Third, a multi-stage model is proposed to describe the cyber vulnerabilities, which reveals potential attacks and their evolvement on power grid components at each stage, assesses the associated impact on the entire power grid, and elucidates possible countermeasures. With the above efforts, this survey establishes a complete causal chain from component-wise vulnerability to system-wide impact assessment for enhancing cyber security, and potential research directions for enhancing power grid cyber security are identified.","2169-3536","","10.1109/ACCESS.2018.2879996","National Natural Science Foundation of China(grant numbers:51767001); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8528321","Cyber security;power grid component vulnerability;countermeasure;causal relationship;cyber attack evolvement","Power grids;Cyberattack;Power generation;Cyber-physical systems;Companies;Stakeholders","","","","15","","103","OAPA","9 Nov 2018","","","IEEE","IEEE Journals"
"A Survey on Cyber-Security of Connected and Autonomous Vehicles (CAVs)","X. Sun; F. R. Yu; P. Zhang","Guangdong Key Laboratory of Intelligent Information Processing, College of Electronics and Information Engineering, Shenzhen University, Shenzhen, China; School of Information Technology, Carleton University, Ottawa, ON, Canada; Guangdong Key Laboratory of Intelligent Information Processing, College of Electronics and Information Engineering, Shenzhen University, Shenzhen, China","IEEE Transactions on Intelligent Transportation Systems","11 Jul 2022","2022","23","7","6240","6259","As the general development trend of the automotive industry, connected and autonomous vehicles (CAVs) can be used to increase transportation safety, promote mobility choices, reduce user costs, and create new job opportunities. However, with the increasing level of connectivity and automation, malicious users are able to easily implement different kinds of attacks, which threaten the security of CAVs. Hence, this paper provides a comprehensive survey on the cyber-security in the environment of CAVs with the aim of highlighting security problems and challenges. Firstly, based on the types of communication networks and attack objects, it classifies various cyber-security risks and vulnerabilities in the environment of CAVs into in-vehicle network attacks, vehicle to everything network attacks, and other attacks. Next, it regards cyber-risk as another type of attacks in the environment of CAVs. Then, it describes and analyzes up-to-date corresponding defense strategies for securing CAVs. In addition, it concludes several available cyber-security and safety standards of CAVs, which is helpful for the practical application of CAVs. Finally, several challenges and open problems are discussed for the future research.","1558-0016","","10.1109/TITS.2021.3085297","National Natural Science Foundation of China(grant numbers:61802118); Science and Technology Innovation Projects of Shenzhen(grant numbers:JCYJ20190809152003992); China Postdoctoral Science Foundation(grant numbers:2019M653042); Government of Canada’s National Crime Prevention Strategy; Natural Sciences and Engineering Research Council of Canada (NSERC) Collaborative Research and Training Experience (CREATE) Program for Building Trust in Connected and Autonomous Vehicles (TrustCAV); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9447840","Connected and autonomous vehicles;cyber-security;attacks;defense strategies;standards","Protocols;Wireless communication;Communication system security;Standards;Wireless LAN;Security;Safety","","","","5","","139","IEEE","7 Jun 2021","","","IEEE","IEEE Journals"
"Multi-Loss Siamese Neural Network With Batch Normalization Layer for Malware Detection","J. Zhu; J. Jang-Jaccard; P. A. Watters","Cyber Security Laboratory, Comp Sci/Info Tech, Massey University-Auckland, Auckland, New Zealand; Cyber Security Laboratory, Comp Sci/Info Tech, Massey University-Auckland, Auckland, New Zealand; Security Studies and Criminology, Macquarie University, Sydney, NSW, Australia","IEEE Access","28 Sep 2020","2020","8","","171542","171550","Malware detection is an essential task in cyber security. As the trend of malicious attacks grows, unknown malware detection with high accuracy becomes more and more challenging. The current deep learning-based approaches for malware detection are typically trained with large amounts of samples using labeled and existing malware families in the training set, thus, their capability to detect new unseen malware (such as a zero-day attack) is limited. To address this issue, we propose a new one-shot model called “Multi-Loss Siamese Neural Network with Batch Normalization Layer” that can work with fewer samples while providing high detection accuracy. Our model utilizes the Siamese Neural Network to detect new variants of malware that is trained with only a few samples. Our model is equipped with batch normalization and multiple loss functions to address the overfitting issue, due to the use of small samples, that can create the vanishing gradient problem as a result of binary cross-entropy loss, and feature embedding space to improve the detection accuracy. In addition, we illustrate a way to convert raw binary files into malware gray scale images, to work with the popular Siamese Neural Network by generating the positive and negative pairs for training. Our experimental results show that our model outperforms existing similar methods.","2169-3536","","10.1109/ACCESS.2020.3024991","Cyber Security Research Programme—Artificial Intelligence for Automating Response to Threats from the Ministry of Business, Innovation, and Employment (MBIE) of New Zealand as a part of the Catalyst Strategy Funds(grant numbers:MAUX1912); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9200528","Siamese neural network (SNN);malware detection;vanishing gradient problem;feature embedding space;zero-day attack","Malware;Feature extraction;Training;Task analysis;Machine learning;Recurrent neural networks","image colour analysis;invasive software;learning (artificial intelligence);neural nets","unseen malware;batch normalization layer;gray scale images;popular Siamese Neural Network;unknown malware detection;deep learning;multiloss Siamese neural network;cyber security","","8","","26","CCBYNCND","18 Sep 2020","","","IEEE","IEEE Journals"
"Efficient Metadata Management in Block-Level CDP System for Cyber Security","H. Li; F. Xiao; N. Xiong","School of Information and Communication Engineering, Hubei University of Economics, Wuhan, China; Management School, Hangzhou Dianzi University, Hangzhou, China; School of Computer Sciences and Technology, Tianjin University, Tianjin, China","IEEE Access","25 Oct 2019","2019","7","","151569","151578","Continuous Data Protection (CDP) is an emerging scheme of data backup and recovery for Cyber Security. Compared with traditional data protection techniques, it can provide much higher reliability and allow the data state to be reverted to any point-in-time in the past. CDP continuously captures and logs every disk update, producing large amount of information, thus desperately requires an efficient mechanism of organizing such information (about the disk I/Os) in order to guarantee the performance to be acceptable. However, there are few works which address the organization of history data to improve the recovery efficiency in case of the disaster occurrences. In this paper, three methods of metadata management for Cyber Security are presented, of which two are simple implementations based on MySQL database (named DIR_MySQL and OPT_MySQL respectively) and the other one is designed with consideration of its characteristics. Experimental results show that META_CDP method is far more efficient than the other two and its performance is reasonably acceptable. Furthermore, we discuss in-depth two recovery algorithms, which are full-recovery and incremental recovery. Users can choose the optimal recovery algorithm based on the required recovery time point.","2169-3536","","10.1109/ACCESS.2019.2948097","National Natural Science Foundation of China(grant numbers:61572012); Science and Technology Research Project of the Education Department of Hubei Province(grant numbers:D20172203); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8873642","CDP;data backup;recovery time;metadata management;security","Data protection;Reliability;File systems;Metadata;Computer crime;Companies;Servers","back-up procedures;data protection;disasters;file organisation;meta data;security of data","continuous data protection;required recovery time point;optimal recovery algorithm;incremental recovery;META_CDP method;recovery efficiency;history data;disk update;point-in-time;data state;traditional data protection techniques;data backup;emerging scheme;cyber security;block-level CDP system;efficient metadata management","","2","","38","CCBY","17 Oct 2019","","","IEEE","IEEE Journals"
"Expectation Propagation-Based Sampling Decoding: Enhancement and Optimization","Z. Wang; S. Lyu; Y. Xia; Q. Wu","Key Laboratory of Dynamic Cognitive System of Electromagnetic Spectrum Space, Ministry of Industry and Information Technology, Nanjing University of Aeronautics and Astronautics, Nanjing, China; College of Cyber Security, Jinan University, Guangzhou, China; School of Information Science and Engineering, Southeast University, Nanjing, China; Key Laboratory of Dynamic Cognitive System of Electromagnetic Spectrum Space (Nanjing Univ. Aeronaut. Astronaut.), Ministry of Industry and Information Technology, Nanjing, China","IEEE Transactions on Signal Processing","25 Dec 2020","2021","69","","195","209","In this paper, the paradigm of expectation propagation (EP) algorithm in large-scale MIMO detection is extended by the sampling decoding in an Markov chain Monte Carlo way to boost the approximation of the target posterior distribution. The proposed EP-based sampling decoding scheme not only theoretically addresses the inherent convergence problem of EP, but also is able to achieve the near-optimal decoding performance with the increment of Markov moves. Specifically, the EP-based independent Metropolis-Hastings (MH) is proposed to guarantee the exponential convergence to the target posterior distribution, thus bridging the EP detector and the sampling decoding as a whole. Meanwhile, the output yielded by the EP detector also provides a good initial setup for the sampling decoding, which results in a better convergence performance in the approximation. To further improve the convergence performance and the decoding efficiency, the EP-based Gibbs sampling is given, where the choice of the standard deviation of the discrete Gaussian distribution in the Markov mixing is also studied for a better decoding performance. Moreover, we extend the proposed EP-based Gibbs sampling decoding to the soft-output decoding in MIMO bit-interleaved coded modulation (BICM) systems, which enjoys a flexible decoding trade-off between performance and complexity by the number of Markov moves.","1941-0476","","10.1109/TSP.2020.3040047","National Mobile Communications Research Laboratory, Southeast University(grant numbers:2019D04); Key Laboratory of Dynamic Cognitive System of Electromagnetic Spectrum Space; Ministry of Industry and Information Technology of the Peopleapos;s Republic of China(grant numbers:KF20181913); National Natural Science Foundation of China(grant numbers:61801216,61771124); Natural Science Foundation of Jiangsu Province(grant numbers:BK20180420); Zhi Shan Young Scholar Program of Southeast University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9271911","EP algorithm;sampling decoding;MIMO detection;soft-output decoding;lattice decoding;near-ML decoding","Signal processing algorithms;Detectors;Markov processes;Gaussian distribution;Decoding;Standards;Convergence","Bayes methods;decoding;Gaussian distribution;interleaved codes;Markov processes;MIMO communication;modulation coding;Monte Carlo methods;sampling methods;signal detection","target posterior distribution;EP detector;convergence performance;decoding efficiency;EP-based Gibbs sampling;soft-output decoding;Markov moves;expectation propagation-based sampling decoding;expectation propagation algorithm;large-scale MIMO detection;Markov chain Monte Carlo way;EP-based sampling decoding;near-optimal decoding performance;EP-based independent Metropolis-Hastings;flexible decoding trade-off","","1","","65","IEEE","25 Nov 2020","","","IEEE","IEEE Journals"
